Typical Measured Spectrum of Semrock NF03-405/488/561/635E Optical Filter       	
"For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited."	
"For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. "	
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)	
493.2	2.71E-04
493.4	0.00108
493.6	0.00188
493.8	0.00379
494	0.00914
494.2	0.02618
494.4	0.08885
494.6	0.31226
494.8	0.72174
495	0.84802
495.2	0.87204
495.4	0.91234
495.6	0.95029
495.8	0.9641
496	0.96016
496.2	0.95433
496.4	0.95392
496.6	0.95747
496.8	0.9609
497	0.96134
497.2	0.9603
497.4	0.95983
497.6	0.96184
497.8	0.96584
498	0.96938
498.2	0.97192
498.4	0.97135
498.6	0.96869
498.8	0.96496
499	0.96289
499.2	0.96298
499.4	0.96485
499.6	0.9681
499.8	0.97078
500	0.97162
500.2	0.97137
500.4	0.96927
500.6	0.96772
500.8	0.96716
501	0.96687
501.2	0.96882
501.4	0.97103
501.6	0.9733
501.8	0.97412
502	0.97388
502.2	0.97229
502.4	0.96983
502.6	0.96819
502.8	0.96705
503	0.96653
503.2	0.96753
503.4	0.96912
503.6	0.97081
503.8	0.97198
504	0.97249
504.2	0.9712
504.4	0.97084
504.6	0.96986
504.8	0.96934
505	0.96942
505.2	0.97012
505.4	0.97018
505.6	0.97057
505.8	0.9701
506	0.9692
506.2	0.968
506.4	0.96634
506.6	0.9645
506.8	0.96359
507	0.9625
507.2	0.9625
507.4	0.96274
507.6	0.96301
507.8	0.96429
508	0.96468
508.2	0.96564
508.4	0.9662
508.6	0.96708
508.8	0.96663
509	0.96661
509.2	0.96694
509.4	0.96713
509.6	0.96681
509.8	0.96711
510	0.96628
510.2	0.96628
510.4	0.96566
510.6	0.96514
510.8	0.9653
511	0.966
511.2	0.96695
511.4	0.96821
511.6	0.96878
511.8	0.96894
512	0.96946
512.2	0.96942
512.4	0.96836
512.6	0.96773
512.8	0.96748
513	0.9673
513.2	0.96729
513.4	0.9676
513.6	0.96805
513.8	0.96805
514	0.96835
514.2	0.96762
514.4	0.96732
514.6	0.96597
514.8	0.96487
515	0.96333
515.2	0.96258
515.4	0.96318
515.6	0.9636
515.8	0.96503
516	0.96577
516.2	0.96763
516.4	0.9689
516.6	0.96953
516.8	0.969
517	0.96824
517.2	0.96769
517.4	0.966
517.6	0.96527
517.8	0.96451
518	0.96423
518.2	0.96504
518.4	0.96524
518.6	0.96624
518.8	0.96608
519	0.96639
519.2	0.96576
519.4	0.96465
519.6	0.96296
519.8	0.96142
520	0.96009
520.2	0.95849
520.4	0.95846
520.6	0.95834
520.8	0.95874
521	0.96013
521.2	0.96184
521.4	0.96321
521.6	0.96411
521.8	0.96477
522	0.9645
522.2	0.96398
522.4	0.96326
522.6	0.96226
522.8	0.96172
523	0.96061
523.2	0.96001
523.4	0.96042
523.6	0.96033
523.8	0.96121
524	0.96185
524.2	0.96249
524.4	0.96356
524.6	0.96367
524.8	0.96355
525	0.96339
525.2	0.96255
525.4	0.96138
525.6	0.96037
525.8	0.95879
526	0.95834
526.2	0.95791
526.4	0.95762
526.6	0.95791
526.8	0.95901
527	0.95994
527.2	0.96011
527.4	0.96052
527.6	0.95955
527.8	0.95837
528	0.95689
528.2	0.9551
528.4	0.95338
528.6	0.95274
528.8	0.95238
529	0.95293
529.2	0.95444
529.4	0.95631
529.6	0.9588
529.8	0.9611
530	0.96299
530.2	0.96411
530.4	0.96458
530.6	0.96388
530.8	0.96285
531	0.96156
531.2	0.96019
531.4	0.95948
531.6	0.95906
531.8	0.95912
532	0.96004
532.2	0.96127
532.4	0.96291
532.6	0.96394
532.8	0.96473
533	0.96459
533.2	0.96456
533.4	0.96403
533.6	0.96315
533.8	0.96254
534	0.96212
534.2	0.96237
534.4	0.96278
534.6	0.96334
534.8	0.96378
535	0.96372
535.2	0.96313
535.4	0.96123
535.6	0.95848
535.8	0.95494
536	0.95117
536.2	0.94754
536.4	0.94296
536.6	0.93959
536.8	0.93671
537	0.93405
537.2	0.93251
537.4	0.93158
537.6	0.93189
537.8	0.93267
538	0.93449
538.2	0.93706
538.4	0.94075
538.6	0.94496
538.8	0.94975
539	0.9542
539.2	0.95872
539.4	0.96202
539.6	0.96439
539.8	0.9647
540	0.96398
540.2	0.96201
540.4	0.95885
540.6	0.95532
540.8	0.95303
541	0.9505
541.2	0.95069
541.4	0.951
541.6	0.95246
541.8	0.95484
542	0.95732
542.2	0.95934
542.4	0.95988
542.6	0.96013
542.8	0.95925
543	0.95749
543.2	0.95531
543.4	0.95444
543.6	0.95377
543.8	0.95358
544	0.95407
544.2	0.95459
544.4	0.95534
544.6	0.95553
544.8	0.95615
545	0.95671
545.2	0.95776
545.4	0.95887
545.6	0.96063
545.8	0.96113
546	0.96235
546.2	0.96195
546.4	0.96082
546.6	0.95913
546.8	0.95718
547	0.9558
547.2	0.95531
547.4	0.95639
547.6	0.95842
547.8	0.96057
548	0.96117
548.2	0.96028
548.4	0.9567
548.6	0.95299
548.8	0.95088
549	0.95193
549.2	0.955
549.4	0.95733
549.6	0.95344
549.8	0.94134
550	0.93121
550.2	0.90313
550.4	0.8424
550.6	0.68847
550.8	0.43603
551	0.21146
551.2	0.0901
551.4	0.03676
551.6	0.0161
551.8	0.00757
552	0.00385
552.2	0.00211
552.4	0.00124
552.6	4.77E-04
552.8	2.81E-04
553	1.70E-04
553.2	1.05E-04
553.4	6.71E-05
553.6	4.60E-05
553.8	3.07E-05
554	2.19E-05
554.2	1.56E-05
554.4	1.12E-05
554.6	8.21E-06
554.8	6.07E-06
555	4.50E-06
555.2	3.36E-06
555.4	2.58E-06
555.6	1.99E-06
555.8	1.58E-06
556	1.33E-06
556.2	1.12E-06
556.4	8.60E-07
556.6	6.95E-07
556.8	6.95E-07
557	6.94E-07
557.2	5.96E-07
557.4	4.90E-07
557.6	4.24E-07
557.8	4.24E-07
558	4.07E-07
558.2	3.87E-07
558.4	3.67E-07
558.6	3.46E-07
558.8	3.26E-07
559	3.02E-07
559.2	2.82E-07
559.4	2.77E-07
559.6	2.71E-07
559.8	2.66E-07
560	2.61E-07
560.2	2.45E-07
560.4	2.01E-07
560.6	2.05E-07
560.8	2.20E-07
561	2.37E-07
561.2	2.57E-07
561.4	2.79E-07
561.6	2.63E-07
561.8	2.51E-07
562	2.71E-07
562.2	2.92E-07
562.4	3.23E-07
562.6	3.59E-07
562.8	3.64E-07
563	2.86E-07
563.2	2.90E-07
563.4	3.15E-07
563.6	3.55E-07
563.8	4.41E-07
564	5.48E-07
564.2	6.27E-07
564.4	7.10E-07
564.6	8.39E-07
564.8	9.92E-07
565	1.16E-06
565.2	1.35E-06
565.4	1.62E-06
565.6	2.18E-06
565.8	2.77E-06
566	3.45E-06
566.2	4.41E-06
566.4	5.96E-06
566.6	8.04E-06
566.8	1.09E-05
567	1.49E-05
567.2	2.11E-05
567.4	2.98E-05
567.6	4.41E-05
567.8	6.62E-05
568	1.03E-04
568.2	1.68E-04
568.4	2.75E-04
568.6	4.54E-04
568.8	7.80E-04
569	0.0014
569.2	0.00263
569.4	0.00589
569.6	0.01278
569.8	0.02812
570	0.06831
570.2	0.1803
570.4	0.42714
570.6	0.7332
570.8	0.87412
571	0.87115
571.2	0.87605
571.4	0.90118
571.6	0.93023
571.8	0.94804
