Typical Measured Spectrum of Semrock Di03-R405/488/532/635 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)

498.0	0.48711
498.2	0.49439
498.4	0.50046
498.6	0.50607
498.8	0.51113
499.0	0.51641
499.2	0.52128
499.4	0.52768
499.6	0.53564
499.8	0.54689
500.0	0.56455
500.2	0.58857
500.4	0.62034
500.6	0.65989
500.8	0.70416
501.0	0.75065
501.2	0.79679
501.4	0.83979
501.6	0.87729
501.8	0.90575
502.0	0.92573
502.2	0.93906
502.4	0.94749
502.6	0.9524
502.8	0.95576
503.0	0.95786
503.2	0.9593
503.4	0.96317
503.6	0.96387
503.8	0.96469
504.0	0.96105
504.2	0.95808
504.4	0.95476
504.6	0.95035
504.8	0.94635
505.0	0.94589
505.2	0.9464
505.4	0.94691
505.6	0.94742
505.8	0.94793
506.0	0.94843
506.2	0.94894
506.4	0.94945
506.6	0.94996
506.8	0.95047
507.0	0.95098
507.2	0.95149
507.4	0.952
507.6	0.95251
507.8	0.95302
508.0	0.95353
508.2	0.95404
508.4	0.95455
508.6	0.95506
508.8	0.95557
509.0	0.95608
509.2	0.95659
509.4	0.95709
509.6	0.9576
509.8	0.95811
510.0	0.95862
510.2	0.95962
510.4	0.9599
510.6	0.95927
510.8	0.9604
511.0	0.95983
511.2	0.95889
511.4	0.95783
511.6	0.95742
511.8	0.95807
512.0	0.96035
512.2	0.96091
512.4	0.96164
512.6	0.96261
512.8	0.96401
513.0	0.96409
513.2	0.96491
513.4	0.96494
513.6	0.96415
513.8	0.96454
514.0	0.96431
514.2	0.96306
514.4	0.96204
514.6	0.96184
514.8	0.95951
515.0	0.95789
515.2	0.95702
515.4	0.95927
515.6	0.95928
515.8	0.95941
516.0	0.96007
516.2	0.96147
516.4	0.96159
516.6	0.96236
516.8	0.96468
517.0	0.96803
517.2	0.96772
517.4	0.96737
517.6	0.97027
